Sale_ID,Sale_Date,Customer_ID,Bike_Brand,Bike_Model,Bike_Category,Engine_CC,Ex_Showroom_Price,On_Road_Price,Customer_Age,Customer_Gender,Payment_Mode,State,City,Dealer_Name,Sale_Quantity
22,2024-11-12,1064,Suzuki,Gixxer SF 250,Sports,250cc,290950,305068,49,Male,Loan,Maharashtra,Pune,Singh-Ratti Motors,2
23,2023-03-16,3437,Royal Enfield,Meteor 350,Cruiser,350cc,302563,332101,42,Male,EMI,Gujarat,Surat,Sidhu-Kata Motors,1
24,2023-08-28,2005,Honda,Hornet 2.0,Commuter,150cc,313264,334828,21,Male,EMI,West Bengal,Kolkata,"Shukla, Dewan and Vyas Motors",3
25,2024-10-07,9155,Suzuki,Gixxer SF 250,Sports,250cc,169004,189680,22,Female,Loan,West Bengal,Siliguri,Batra Ltd Motors,1
26,2024-07-28,8985,Bajaj,Dominar 400,Cruiser,400cc+,244210,273391,18,Male,Cash,Maharashtra,Mumbai,Dubey-Rau Motors,3
27,2023-11-03,3939,Royal Enfield,Classic 350,Cruiser,350cc,147307,168104,18,Male,EMI,Karnataka,Bangalore,Gade-Bali Motors,2
28,2023-02-13,9864,Suzuki,Access 125,Electric,125cc,107955,126642,36,Female,Loan,Delhi,New Delhi,"Rege, Krishna and Wason Motors",2
29,2024-11-23,1842,Hero,Xtreme 160R,Commuter,150cc,271979,290991,47,Male,Loan,Rajasthan,Udaipur,"Sura, Goda and Jaggi Motors",1
30,2024-11-20,9830,Suzuki,Access 125,Electric,125cc,138049,166552,25,Male,EMI,Maharashtra,Mumbai,"Singhal, Chaudhary and Sethi Motors",1
31,2023-03-25,8971,Honda,Hness CB350,Cruiser,350cc,113549,137357,20,Female,Cash,West Bengal,Siliguri,"Ghose, Agate and Sethi Motors",3
32,2023-12-02,1147,KTM,Duke 125,Commuter,125cc,91169,113509,23,Female,Loan,Karnataka,Mysore,"Dhaliwal, Balakrishnan and Bajaj Motors",2
33,2023-08-25,5018,TVS,Apache RTR 160,Commuter,150cc,83916,112066,34,Female,EMI,Gujarat,Ahmedabad,Dhillon-Dugar Motors,3
34,2025-01-26,8117,Royal Enfield,Meteor 350,Cruiser,350cc,172603,198930,33,Male,EMI,Rajasthan,Udaipur,Bawa Group Motors,1
35,2023-05-20,1695,Hero,XPulse 200,Adventure,200cc,133448,155334,42,Male,EMI,West Bengal,Kolkata,Salvi Group Motors,1
36,2024-04-17,5429,Hero,Xtreme 160R,Commuter,150cc,161099,184647,37,Male,EMI,Maharashtra,Nagpur,"Date, Salvi and Rege Motors",1
37,2024-08-03,8679,Bajaj,Pulsar 150,Commuter,150cc,91625,97172,20,Female,EMI,Tamil Nadu,Coimbatore,Kade Group Motors,3
38,2025-01-27,6634,Yamaha,FZ-S,Commuter,150cc,241961,252276,25,Female,Cash,Karnataka,Mysore,Walia-Gara Motors,1
39,2023-11-10,6416,KTM,Duke 250,Sports,250cc,190247,217457,22,Male,Cash,Uttar Pradesh,Kanpur,Garde-Vohra Motors,1
40,2023-10-16,7075,Yamaha,R15 V4,Sports,150cc,301108,313410,21,Female,Loan,Karnataka,Mysore,Sabharwal Inc Motors,2
41,2024-04-18,1076,Hero,HF Deluxe,Commuter,150cc,101963,131370,21,Male,Cash,Uttar Pradesh,Lucknow,Sangha LLC Motors,3
42,2023-02-24,8185,KTM,Duke 250,Sports,250cc,171929,194856,45,Female,Cash,West Bengal,Kolkata,"Shetty, Ramanathan and Dar Motors",1
43,2024-07-03,2432,Yamaha,FZ-S,Commuter,150cc,131036,148589,26,Male,EMI,Delhi,New Delhi,Jani-Chaudhry Motors,3
44,2024-08-22,4565,Royal Enfield,Himalayan 411,Adventure,400cc+,141193,152512,27,Male,EMI,Gujarat,Surat,Bumb-Vaidya Motors,2
45,2024-12-27,7811,Hero,XPulse 200,Adventure,200cc,237780,250723,32,Female,Cash,Delhi,New Delhi,Kuruvilla Inc Motors,1
46,2023-04-23,8306,Bajaj,Pulsar 150,Commuter,150cc,294350,322344,47,Female,EMI,Delhi,New Delhi,Manne Ltd Motors,3
47,2025-01-22,8297,Hero,Xtreme 160R,Commuter,150cc,81464,89716,28,Female,Loan,Gujarat,Surat,Shenoy Ltd Motors,2
48,2023-11-17,6687,Honda,Hness CB350,Cruiser,350cc,338950,350284,46,Female,Cash,Uttar Pradesh,Lucknow,"Krishnan, Tella and Bumb Motors",1
49,2024-11-02,5317,Suzuki,V-Strom SX,Adventure,150cc,116597,133789,46,Male,Cash,Tamil Nadu,Chennai,Karnik Group Motors,2
50,2024-09-08,7748,Hero,XPulse 200,Adventure,200cc,300512,320114,30,Male,Cash,Rajasthan,Jaipur,"Sharma, Desai and Sura Motors",3
51,2023-11-07,8611,KTM,RC 390,Sports,400cc+,252797,263398,30,Male,Loan,Maharashtra,Pune,Sharaf-Sahota Motors,2
52,2023-02-09,1898,TVS,RR 310,Sports,150cc,246078,265128,49,Female,EMI,Karnataka,Mysore,"Gaba, Choudhry and Khosla Motors",1
53,2023-05-25,9607,Yamaha,Fascino 125,Electric,125cc,200710,207177,19,Male,Loan,Uttar Pradesh,Lucknow,Choudhary LLC Motors,1
54,2024-12-28,9790,Hero,HF Deluxe,Commuter,150cc,148083,172778,36,Female,Loan,Tamil Nadu,Chennai,Dhillon-Manne Motors,2
55,2024-05-25,5175,Suzuki,Access 125,Electric,125cc,316455,332527,22,Female,EMI,Gujarat,Surat,Divan Ltd Motors,3
56,2023-07-24,9735,Suzuki,V-Strom SX,Adventure,150cc,230716,259397,33,Female,EMI,Maharashtra,Nagpur,"Rama, Hari and Gulati Motors",3
57,2023-04-28,1454,Yamaha,R15 V4,Sports,150cc,91694,113607,30,Female,Loan,Rajasthan,Udaipur,Varkey LLC Motors,1
58,2023-12-05,7611,Bajaj,Dominar 400,Cruiser,400cc+,197369,205602,37,Female,Loan,West Bengal,Siliguri,Balan Ltd Motors,3
59,2023-03-19,4937,Yamaha,R15 V4,Sports,150cc,92813,112602,24,Female,Loan,Rajasthan,Jaipur,Rattan-Sanghvi Motors,2
60,2024-06-19,3841,TVS,Apache RTR 200,Commuter,200cc,82292,90730,19,Male,EMI,Uttar Pradesh,Kanpur,Reddy-Butala Motors,3
61,2024-06-30,1956,TVS,Apache RTR 200,Commuter,200cc,279601,298655,18,Female,EMI,Delhi,New Delhi,Varghese-Bal Motors,3
62,2025-01-11,6669,Hero,XPulse 200,Adventure,200cc,252261,265999,44,Female,Cash,Maharashtra,Mumbai,Bumb-Lad Motors,1
63,2024-12-19,5839,Royal Enfield,Hunter 350,Commuter,350cc,259071,273046,19,Female,Loan,Rajasthan,Jaipur,Uppal Inc Motors,2
64,2024-07-08,7477,Hero,XPulse 200,Adventure,200cc,83553,109416,38,Female,EMI,Maharashtra,Nagpur,"Bhattacharyya, Vaidya and Ramaswamy Motors",2
65,2023-12-25,9362,Bajaj,Pulsar 200NS,Commuter,200cc,272092,285751,35,Female,Loan,Gujarat,Surat,Edwin LLC Motors,2
66,2024-01-07,1429,Suzuki,Access 125,Electric,125cc,271797,285968,26,Male,Cash,Maharashtra,Mumbai,"Subramaniam, Khanna and Ben Motors",2
67,2024-09-09,5096,Royal Enfield,Classic 350,Cruiser,350cc,188762,198786,34,Female,Cash,Uttar Pradesh,Lucknow,Gala PLC Motors,3
68,2024-09-05,6553,Suzuki,V-Strom SX,Adventure,150cc,191589,201813,43,Male,EMI,Maharashtra,Pune,"Kala, Som and Venkataraman Motors",2
69,2024-01-13,7304,Royal Enfield,Classic 350,Cruiser,350cc,209469,236277,43,Male,Cash,Rajasthan,Udaipur,Sur-Karpe Motors,3
70,2024-11-13,3191,KTM,Duke 125,Commuter,125cc,340778,351236,50,Female,Loan,Karnataka,Mysore,Bumb-Wadhwa Motors,2
71,2024-09-20,6561,KTM,Duke 125,Commuter,125cc,167579,178742,26,Female,Cash,Gujarat,Ahmedabad,Kapoor-Zachariah Motors,1
72,2024-03-29,5163,TVS,Apache RTR 160,Commuter,150cc,277292,303284,33,Female,Cash,West Bengal,Siliguri,"Shukla, Kothari and Dua Motors",3
73,2023-11-01,5107,Suzuki,Gixxer SF 250,Sports,250cc,314096,324108,41,Female,Cash,West Bengal,Kolkata,"Yadav, Tank and Tak Motors",1
74,2024-12-20,6253,Royal Enfield,Meteor 350,Cruiser,350cc,119003,142543,40,Male,Cash,Gujarat,Surat,Sabharwal-Rau Motors,3
75,2024-10-10,1189,TVS,RR 310,Sports,150cc,145929,154270,30,Male,EMI,Uttar Pradesh,Lucknow,Boase-Subramanian Motors,3
76,2023-08-15,5171,TVS,Apache RTR 200,Commuter,200cc,230653,251046,41,Female,Cash,Rajasthan,Udaipur,Krishna LLC Motors,1
77,2024-08-16,6752,KTM,Adventure 390,Adventure,400cc+,173468,189275,48,Female,Cash,West Bengal,Kolkata,"Seth, Jain and Lanka Motors",2
78,2024-02-16,8068,Hero,Splendor Plus,Commuter,150cc,181313,205715,27,Female,Cash,West Bengal,Kolkata,"Ganguly, Konda and Ramachandran Motors",3
79,2023-10-17,5043,Honda,CBR 250R,Commuter,250cc,104336,132247,33,Female,Cash,Gujarat,Ahmedabad,Rout PLC Motors,2
80,2023-04-17,7811,Suzuki,Gixxer SF 250,Sports,250cc,195821,217927,33,Male,Cash,Uttar Pradesh,Lucknow,"Chad, Dora and Banerjee Motors",3
81,2024-12-30,3729,Royal Enfield,Classic 350,Cruiser,350cc,208172,221861,38,Male,Loan,Maharashtra,Nagpur,Arora-Chaudry Motors,2
82,2024-03-07,4735,KTM,Adventure 390,Adventure,400cc+,107693,133883,50,Female,Loan,West Bengal,Siliguri,Sengupta Group Motors,1
83,2024-07-25,3774,Royal Enfield,Bullet 350,Cruiser,150cc,172626,179534,37,Male,Loan,West Bengal,Kolkata,Vora Ltd Motors,3
84,2023-06-05,1347,Hero,Xtreme 160R,Commuter,150cc,303139,313618,25,Male,Cash,Karnataka,Mysore,"Varkey, Lalla and Gokhale Motors",1
85,2024-10-26,8094,Suzuki,V-Strom SX,Adventure,150cc,240955,270444,21,Female,EMI,Uttar Pradesh,Lucknow,Mahal-Deo Motors,2
86,2024-11-24,4914,TVS,Apache RTR 200,Commuter,200cc,208726,230847,46,Female,Cash,Maharashtra,Pune,Goyal-Kaur Motors,1
87,2023-05-12,3233,Honda,Hornet 2.0,Commuter,150cc,138041,161745,30,Female,Loan,Tamil Nadu,Chennai,Krish and Sons Motors,2
88,2023-03-19,3854,Honda,CB Unicorn 150,Commuter,150cc,121335,146861,23,Female,Cash,Maharashtra,Nagpur,"Kulkarni, Lad and Tailor Motors",1
89,2023-11-25,5037,Yamaha,MT-15,Commuter,150cc,242870,268049,46,Female,EMI,Tamil Nadu,Coimbatore,Choudhary-Badami Motors,2
90,2024-07-28,7033,Honda,Hness CB350,Cruiser,350cc,194213,217965,25,Male,EMI,Delhi,New Delhi,Korpal-Kara Motors,2
91,2024-03-10,7238,Yamaha,R15 V4,Sports,150cc,189257,219087,30,Female,Loan,Maharashtra,Pune,Johal-Luthra Motors,2
92,2024-01-02,8235,KTM,RC 390,Sports,400cc+,229095,239924,41,Female,Cash,Karnataka,Bangalore,"Wali, Vasa and Sawhney Motors",2
93,2023-03-03,6003,Honda,Hness CB350,Cruiser,350cc,293715,315468,22,Female,Cash,Rajasthan,Udaipur,"Hayre, Goel and Sarraf Motors",3
94,2024-10-10,3532,Honda,CBR 250R,Commuter,250cc,166537,173170,22,Female,Cash,Maharashtra,Nagpur,"Shan, Mall and Sood Motors",2
95,2023-08-18,9197,Suzuki,V-Strom SX,Adventure,150cc,100129,112720,27,Female,Loan,Uttar Pradesh,Lucknow,Chaudhuri Inc Motors,1
96,2023-10-10,8348,KTM,Duke 250,Sports,250cc,285996,311825,19,Female,Loan,Rajasthan,Udaipur,Buch-Sanghvi Motors,3
97,2024-07-30,2785,Hero,HF Deluxe,Commuter,150cc,333417,338663,37,Female,Loan,Rajasthan,Udaipur,Chacko-Buch Motors,1
98,2024-05-21,2669,TVS,RR 310,Sports,150cc,102069,107365,26,Male,EMI,Delhi,New Delhi,Deep-Kara Motors,1
99,2024-01-04,4518,Yamaha,FZ-S,Commuter,150cc,315241,338763,22,Female,Loan,Tamil Nadu,Coimbatore,Arora-Loke Motors,1
100,2023-10-22,2731,Honda,CBR 250R,Commuter,250cc,241880,270107,45,Female,Cash,Rajasthan,Udaipur,"Hans, Vyas and Karan Motors",3
101,2023-06-27,3241,Hero,HF Deluxe,Commuter,150cc,311547,327739,18,Male,Loan,West Bengal,Siliguri,Khare-Kar Motors,3
102,2023-03-07,5329,Yamaha,R15 V4,Sports,150cc,166685,195938,45,Female,Loan,Delhi,New Delhi,Jha-Gupta Motors,1
103,2024-02-21,8928,Honda,CB Unicorn 150,Commuter,150cc,185813,202098,48,Female,Cash,Uttar Pradesh,Kanpur,"Seth, Chand and Wable Motors",2
104,2024-03-10,9529,Hero,Xtreme 160R,Commuter,150cc,137988,163292,23,Female,EMI,Karnataka,Bangalore,Choudhry Ltd Motors,1
105,2023-03-19,9300,Yamaha,R15 V4,Sports,150cc,127643,143218,43,Male,EMI,Delhi,New Delhi,"Jaggi, Khatri and Deep Motors",1
106,2024-11-17,5415,Bajaj,Pulsar 200NS,Commuter,200cc,281660,308598,40,Female,Loan,Gujarat,Surat,Ratta-Kala Motors,3
107,2023-10-09,8699,Royal Enfield,Bullet 350,Cruiser,150cc,133348,159721,34,Male,Cash,Karnataka,Mysore,Salvi LLC Motors,3
108,2024-12-24,4826,Yamaha,Fascino 125,Electric,125cc,220598,239936,28,Female,EMI,Maharashtra,Mumbai,Gala Inc Motors,1
109,2024-06-09,3212,Bajaj,Dominar 400,Cruiser,400cc+,283890,312148,39,Male,Cash,Delhi,New Delhi,Bahl-Rastogi Motors,3
110,2024-07-08,7647,Bajaj,Dominar 400,Cruiser,400cc+,341770,354918,22,Male,Loan,Tamil Nadu,Coimbatore,Saini PLC Motors,1
111,2025-01-23,3756,Suzuki,Access 125,Electric,125cc,233601,241174,32,Male,Loan,Maharashtra,Mumbai,Gola Group Motors,1
112,2023-09-10,2868,Suzuki,Gixxer SF 250,Sports,250cc,129469,137632,25,Female,Loan,Gujarat,Surat,Bandi Inc Motors,1
113,2023-08-29,3311,Yamaha,R15 V4,Sports,150cc,302485,328490,35,Male,Loan,Delhi,New Delhi,Maharaj-Dara Motors,2
114,2024-01-06,7946,KTM,Duke 125,Commuter,125cc,294927,308871,29,Male,Loan,Karnataka,Mysore,Goda-Tata Motors,1
115,2024-10-30,3508,Hero,Xtreme 160R,Commuter,150cc,299301,306877,22,Female,Cash,West Bengal,Kolkata,Kunda Group Motors,3
116,2024-04-19,4303,TVS,Apache RTR 200,Commuter,200cc,318309,328630,48,Male,EMI,Maharashtra,Nagpur,Tiwari Group Motors,2
117,2024-11-15,4997,Hero,XPulse 200,Adventure,200cc,105642,123740,23,Female,Loan,Uttar Pradesh,Kanpur,"Gade, Kari and Gokhale Motors",2
118,2024-07-05,9517,Bajaj,Pulsar 220F,Commuter,150cc,265291,288936,42,Male,Loan,West Bengal,Siliguri,Bose-Khatri Motors,2
119,2023-07-16,5611,Suzuki,V-Strom SX,Adventure,150cc,299842,320038,22,Female,Loan,Karnataka,Mysore,Anne Inc Motors,2
120,2024-04-22,8881,Suzuki,Access 125,Electric,125cc,213942,235550,50,Male,EMI,Maharashtra,Pune,Gokhale LLC Motors,1
121,2024-11-24,6000,Honda,Hornet 2.0,Commuter,150cc,89340,111448,39,Female,EMI,Rajasthan,Udaipur,"Suri, Yadav and Lala Motors",1
122,2023-05-20,4400,KTM,RC 200,Sports,150cc,284105,308280,40,Female,EMI,Maharashtra,Pune,Bhakta-Ratti Motors,1
123,2024-04-17,3861,Yamaha,Fascino 125,Electric,125cc,263133,276836,47,Male,Cash,Delhi,New Delhi,Chokshi-Sekhon Motors,3
124,2024-05-23,9343,Yamaha,FZ-S,Commuter,150cc,279226,287970,29,Male,EMI,Maharashtra,Pune,Chhabra-Golla Motors,2
125,2024-03-27,5114,Royal Enfield,Classic 350,Cruiser,350cc,148276,159446,44,Male,Cash,Delhi,New Delhi,Gera-Chowdhury Motors,2
126,2024-07-23,4565,Suzuki,V-Strom SX,Adventure,150cc,209611,227011,29,Female,EMI,Delhi,New Delhi,Shenoy-Bal Motors,2
127,2024-07-21,8270,Honda,CB Unicorn 150,Commuter,150cc,321709,341209,28,Female,Loan,Uttar Pradesh,Kanpur,"Buch, Kapur and Vohra Motors",1
128,2023-08-04,7674,Hero,Splendor Plus,Commuter,150cc,100364,118596,31,Female,Cash,Gujarat,Ahmedabad,Sangha-Baria Motors,1
129,2023-02-21,9532,Suzuki,V-Strom SX,Adventure,150cc,344966,359201,19,Male,EMI,Gujarat,Surat,Doshi-Yadav Motors,3
130,2024-05-10,1047,Royal Enfield,Bullet 350,Cruiser,150cc,284138,310604,29,Female,Cash,Maharashtra,Pune,"Deshmukh, Karan and Sandhu Motors",1
131,2024-11-23,9374,Bajaj,Dominar 250,Commuter,250cc,143350,159126,48,Female,Loan,Gujarat,Surat,"Bhalla, Dada and Sane Motors",3
132,2024-07-04,8051,Suzuki,Gixxer SF 250,Sports,250cc,81273,86750,43,Male,Loan,Uttar Pradesh,Kanpur,"Sandhu, Sami and Deol Motors",1
133,2024-03-09,4026,KTM,Duke 125,Commuter,125cc,105006,132521,41,Male,EMI,Uttar Pradesh,Lucknow,D’Alia-Ganguly Motors,3
134,2023-06-11,3031,Yamaha,Fascino 125,Electric,125cc,258745,264100,41,Male,EMI,Delhi,New Delhi,"Vohra, Dua and Tella Motors",3
135,2024-02-08,1586,Bajaj,Pulsar 220F,Commuter,150cc,224433,230666,46,Male,Loan,Karnataka,Mysore,Karan PLC Motors,2
136,2023-05-30,5458,Honda,CBR 250R,Commuter,250cc,336709,359131,43,Male,Cash,Delhi,New Delhi,Sachar-Chaudhuri Motors,3
137,2024-03-31,2783,TVS,Apache RTR 160,Commuter,150cc,297538,323157,39,Female,Cash,Gujarat,Ahmedabad,"Boase, Dora and Chana Motors",2
138,2024-09-05,3854,Hero,HF Deluxe,Commuter,150cc,327518,348775,34,Male,EMI,Rajasthan,Udaipur,Chaudry Inc Motors,2
139,2024-02-01,1738,Royal Enfield,Bullet 350,Cruiser,150cc,141824,168215,44,Female,Cash,West Bengal,Siliguri,"Sami, Dhaliwal and Varghese Motors",3
140,2024-12-15,8397,Suzuki,Gixxer SF 250,Sports,250cc,297474,303539,23,Female,Cash,Karnataka,Bangalore,Chada LLC Motors,3
141,2024-04-15,6720,Yamaha,FZ-S,Commuter,150cc,330185,341247,24,Female,Cash,Uttar Pradesh,Kanpur,"Sahni, Gopal and Krishnan Motors",3
142,2023-07-24,2570,Hero,XPulse 200,Adventure,200cc,339698,347903,45,Male,Loan,Delhi,New Delhi,Khalsa Inc Motors,2
143,2023-11-13,1673,KTM,Duke 200,Sports,200cc,160673,168013,42,Male,Cash,Tamil Nadu,Coimbatore,Dhillon-Yadav Motors,2
144,2024-06-10,9317,Royal Enfield,Hunter 350,Commuter,350cc,255998,266391,44,Male,Cash,West Bengal,Kolkata,Krishnan-Buch Motors,3
145,2025-01-10,9317,TVS,Apache RTR 200,Commuter,200cc,191842,211409,28,Male,EMI,Gujarat,Surat,"Dugar, Gour and Chaudhari Motors",1
146,2023-09-11,6039,Hero,HF Deluxe,Commuter,150cc,154527,179953,19,Female,Cash,Delhi,New Delhi,"Trivedi, Boase and Kunda Motors",1
147,2024-04-07,7348,Honda,Hornet 2.0,Commuter,150cc,177268,185665,37,Female,EMI,Rajasthan,Udaipur,"Loke, Mangal and Bali Motors",1
148,2023-04-16,6482,Honda,Hornet 2.0,Commuter,150cc,294466,320686,37,Female,EMI,Rajasthan,Udaipur,"Brahmbhatt, Bhatti and Madan Motors",2
149,2023-12-14,6500,Royal Enfield,Himalayan 411,Adventure,400cc+,248438,269825,40,Male,Cash,Maharashtra,Mumbai,Vyas-Magar Motors,2
150,2024-11-24,5474,Yamaha,FZ-S,Commuter,150cc,210326,229356,44,Male,Cash,Maharashtra,Mumbai,Varma Group Motors,2
151,2023-07-27,6889,TVS,RR 310,Sports,150cc,124030,138862,37,Female,Loan,Maharashtra,Pune,Bal-Dhaliwal Motors,2
152,2024-02-01,2597,Hero,Splendor Plus,Commuter,150cc,101702,127444,47,Male,Loan,West Bengal,Kolkata,Dara Inc Motors,1
153,2023-05-28,7397,KTM,RC 200,Sports,150cc,182681,195238,40,Female,Loan,Uttar Pradesh,Kanpur,Tata Group Motors,3
154,2024-12-31,3316,KTM,RC 200,Sports,150cc,211521,217004,21,Male,Loan,Rajasthan,Jaipur,Saini and Sons Motors,2
155,2025-01-20,1413,Royal Enfield,Meteor 350,Cruiser,350cc,168951,189807,31,Female,Cash,Karnataka,Bangalore,Sengupta Ltd Motors,1
156,2023-10-19,3384,Bajaj,Pulsar 150,Commuter,150cc,96779,125738,35,Female,EMI,West Bengal,Kolkata,Dhar and Sons Motors,3
157,2023-06-09,1309,KTM,Duke 250,Sports,250cc,179097,191796,41,Female,Loan,Maharashtra,Pune,Subramaniam-Ahuja Motors,1
158,2023-08-30,1158,Bajaj,Pulsar 200NS,Commuter,200cc,265093,273191,47,Female,EMI,Tamil Nadu,Chennai,"Talwar, Grewal and Karpe Motors",1
159,2023-02-16,1364,Bajaj,Pulsar 220F,Commuter,150cc,231567,258172,19,Male,Loan,Gujarat,Ahmedabad,Maharaj-Kurian Motors,3
160,2024-11-17,9491,Hero,Splendor Plus,Commuter,150cc,146663,172930,46,Female,EMI,Delhi,New Delhi,"Walla, Soman and Basu Motors",2
161,2023-06-01,9611,KTM,Duke 125,Commuter,125cc,273771,293703,31,Male,EMI,Maharashtra,Nagpur,"Sant, Kuruvilla and Verma Motors",3
162,2024-02-02,1315,Suzuki,Access 125,Electric,125cc,312079,341716,24,Male,EMI,Delhi,New Delhi,"Chander, Kar and Shere Motors",1
163,2023-08-20,1177,Bajaj,Pulsar 150,Commuter,150cc,239856,245012,46,Female,Loan,Delhi,New Delhi,Savant Inc Motors,1
164,2023-04-26,6089,Bajaj,Pulsar 200NS,Commuter,200cc,213413,226513,45,Female,Loan,Delhi,New Delhi,Bandi-Tailor Motors,3
165,2024-02-08,6549,Yamaha,FZ-S,Commuter,150cc,264708,286468,31,Female,Cash,Rajasthan,Udaipur,Dugar Ltd Motors,1
166,2024-02-27,4941,Hero,XPulse 200,Adventure,200cc,347203,361271,21,Female,Cash,Maharashtra,Pune,Bal LLC Motors,2
167,2023-04-03,2279,Suzuki,V-Strom SX,Adventure,150cc,90623,98071,31,Male,Loan,Tamil Nadu,Chennai,"Biswas, Ramanathan and Sengupta Motors",1
168,2024-06-24,9404,Honda,Hornet 2.0,Commuter,150cc,262430,280745,40,Female,Cash,Uttar Pradesh,Lucknow,Mandal Inc Motors,2
169,2025-02-03,9983,Bajaj,Pulsar 150,Commuter,150cc,348772,366076,25,Male,Cash,Uttar Pradesh,Kanpur,Bansal-Cherian Motors,3
170,2024-09-15,3210,Honda,CB Unicorn 150,Commuter,150cc,171258,182712,50,Female,Loan,Tamil Nadu,Coimbatore,Kumar Ltd Motors,3
171,2023-12-14,4065,TVS,RR 310,Sports,150cc,118279,143050,45,Female,EMI,Gujarat,Surat,"Kuruvilla, Tara and Edwin Motors",1
172,2023-08-03,9047,Hero,XPulse 200,Adventure,200cc,325577,344257,23,Male,Loan,Rajasthan,Jaipur,Raman-Vaidya Motors,1
173,2024-07-30,4947,Bajaj,Dominar 250,Commuter,250cc,207750,225819,23,Male,Loan,Delhi,New Delhi,"Kanda, Karnik and Karnik Motors",1
174,2023-12-11,8001,Bajaj,Pulsar 200NS,Commuter,200cc,288610,305812,23,Female,Loan,Gujarat,Ahmedabad,Tella-Chandra Motors,2
175,2025-01-30,5909,KTM,RC 390,Sports,400cc+,138736,167903,25,Male,Loan,Rajasthan,Jaipur,Dave Group Motors,2
176,2023-06-01,3777,Honda,CB Unicorn 150,Commuter,150cc,143955,154392,46,Female,EMI,West Bengal,Siliguri,Iyengar-Thaman Motors,1
177,2024-05-12,4067,TVS,RR 310,Sports,150cc,254835,278693,42,Male,Cash,Rajasthan,Udaipur,Jha-Wason Motors,1
